Temp,Pote,Larva,Trayectoria,Time,IV
12,A,1,1,10.200000047683700,6.581402997239860
12,A,2,1,8.799999952316280,11.362893132513100
12,A,2,2,10.200000047683700,7.649658386219460
12,A,3,1,42,4.470531936768220
12,A,3,2,20.90000009536740,4.385469478136000
12,A,3,3,9.5,4.215249903547410
12,A,3,4,12.400000095367400,3.196715307518670
12,A,4,1,10,2.4139094142635200
12,A,4,2,9.800000190734860,5.270532042490350
12,A,4,3,9.799999952316280,2.2634399386889600
12,A,5,1,18.100000143051100,6.857028579728670
12,A,5,2,11.699999809265100,6.999588027250030
12,A,5,3,18.199999809265100,7.327644834854800
12,A,5,4,14.900000095367400,12.31434305502780
12,B,1,1,5.039999961853030,4.8071070394813100
12,B,1,2,5.5,5.797013963691450
12,B,2,1,11.669999837875400,8.370034893913660
12,B,2,2,9.929999828338620,5.268442656869410
12,B,3,1,5.0299999713897700,9.910297140808480
12,B,3,2,19.760000228881800,9.82362913489001
12,B,3,3,11.629999876022300,5.255801533030520
12,B,4,1,10.299999952316300,3.944546392126760
12,B,4,2,10.200000047683700,2.7403751148855000
12,B,4,3,5.940000057220460,7.3308399321233
12,B,5,1,5.800000190734860,10.729152975369500
12,C,1,1,13.330000162124600,3.6574075859153600
12,C,2,1,5.139999866485600,3.570219184566770
12,C,2,2,5.670000076293950,3.963298918026540
12,C,2,3,5.0299999713897700,7.389543940997530
12,C,4,1,5.329999923706060,1.2194362373518100
12,C,5,1,11.129999876022300,6.343182564705710
12,C,5,2,6.039999961853030,3.6221815603075400
12,C,5,3,26.83999991416930,4.021377589274880
15,A,1,1,5.5,3.3550072371670000
15,A,1,2,6.900000095367430,1.2553254563244500
15,A,1,3,6.400000095367430,3.3065015674871600
15,A,2,1,6.799999952316280,3.102935373284600
15,A,2,2,14.899999856948900,1.6591860759883000
15,A,2,3,28.399999856948900,1.2289860710215400
15,A,2,4,7.900000095367430,2.1349327054450600
15,A,2,5,7.799999952316280,1.8511764280087200
15,A,2,6,28,1.2659735935998100
15,A,3,1,10,4.401880169306070
15,A,3,2,12.5,2.7165790992854900
15,A,3,3,7.8999998569488500,0.9739523126973890
15,A,3,4,7.3999998569488500,1.9367921634952300
15,A,3,5,11.5,0.8666828658235680
15,A,3,6,15.799999952316300,3.5798597648052900
15,A,3,7,5.299999952316280,4.5112040287448700
15,A,3,8,18.799999952316300,1.4989189349073400
15,A,3,9,14.399999856948900,1.289596120886720
15,A,5,1,7.400000095367430,2.4610426670177800
15,A,5,2,7.299999952316280,1.8255312057536000
15,B,1,1,16.100000143051100,1.2996655641740600
15,B,1,2,23,1.2142314681188300
15,B,1,3,5.1000001430511500,1.264291204841930
15,B,1,4,8.699999809265140,2.3218652807371
15,B,1,5,13.700000047683700,0.9559619499308340
15,B,2,1,6.699999809265140,6.46836030446862
15,B,2,2,15,5.107825491505660
15,B,2,3,51.299999952316300,2.7769660307870100
15,B,2,4,21.59999990463260,1.8393398880647600
15,B,2,5,7.200000047683720,2.2179231550457900
15,B,2,6,5.900000095367430,4.9021792677602400
15,B,2,7,7.099999904632570,1.8944761011567800
15,B,3,1,51.200000047683700,1.317156839313540
15,C,1,1,11.199999809265100,0.777467627055075
15,C,2,1,18.40000009536740,1.7168300366232100
15,C,2,2,14.899999856948900,2.493074348916640
15,C,2,3,17.700000047683700,0.8390819909776530
15,C,2,4,7.799999952316280,2.168605347334790
15,C,2,5,12.099999904632600,1.6287808268189700
15,C,3,1,21.799999952316300,0.7555059814812970
15,C,3,2,5.799999952316280,2.0865031413435200
15,C,5,1,9,1.5717064707560700
15,C,5,2,5.799999952316280,1.5743905165305000
17,A,1,1,8.099999904632570,1.0230199116733200
17,A,1,2,8.5,2.550160118706770
17,A,1,3,8.700000047683720,0.604360792250531
17,A,1,4,7.200000047683720,0.9266688852968110
17,A,2,1,8.200000047683720,2.663503900802650
17,A,2,2,12.700000047683700,1.8472812162708700
17,A,2,3,11.700000047683700,1.0285603339972200
17,A,2,4,12.200000047683700,0.7717602951972750
17,A,3,1,9,6.0090465355950200
17,A,3,2,4.400000095367430,2.5374167355314300
17,A,3,3,27,1.106624441630010
17,A,4,1,7.699999809265140,1.4317091801536500
17,A,4,2,6.5,1.3760286425944500
17,A,4,3,5.400000095367430,0.7955836518441070
17,A,5,1,12.5,1.0618250993478600
17,A,5,2,27.5,1.313040998565190
17,A,5,3,27.399999856948900,2.0205310368220100
17,B,2,1,7.400000095367430,0.7292371901617110
17,B,2,2,4.799999713897710,0.866436311303062
17,B,3,1,6.799999952316280,1.7059326929766700
17,B,3,2,11.600000143051100,2.4384791265642000
17,B,3,3,18.200000047683700,6.376056072922010
17,B,3,4,10.5,7.271349263984540
17,B,3,5,7.099999904632570,10.287051364250000
17,B,3,6,6.299999952316280,5.567739705220050
17,B,3,7,7.700000047683720,10.08894650740740
17,B,3,8,19.200000047683700,4.749701645482660
17,B,3,9,6.5,5.497416763905340
17,B,3,10,17.5,4.254750959352280
17,B,4,1,17.59999990463260,0.8259191281356990
17,B,4,2,22.700000047683700,0.8318049520362520
17,B,5,1,16.40000009536740,2.0670960219893700
17,B,5,2,23.59999990463260,1.282741090984760
17,B,5,3,8.400000095367430,1.127079307003480
17,B,5,4,7.700000047683720,1.7599996909448000
17,C,1,1,11.200000047683700,3.7973700166097900
17,C,1,2,5.799999952316280,3.866259357982010
17,C,1,3,6.700000047683720,2.332795257201160
17,C,1,4,8.399999856948850,1.994052856771720
17,C,1,5,12.5,1.4365864603088100
17,C,1,6,12.899999856948900,2.7478973049113900
17,C,1,7,6.599999904632570,3.210222031374320
17,C,2,1,42.200000047683700,2.59947359170832
17,C,2,2,23.200000047683700,2.405448570154740
17,C,2,3,13.899999856948900,1.147717735698980
17,C,2,4,14.900000095367400,2.5313180921495400
17,C,2,5,6.299999952316280,1.3616298200632500
17,C,2,6,15.5,0.8015198938448920
17,C,3,1,19.299999952316300,1.358988765472130
17,C,3,2,6.300000190734860,2.402058603429520
17,C,3,3,7.200000047683720,2.6986703479605300
17,C,3,4,15.400000095367400,2.578458795878890
17,C,3,5,4.3999998569488500,3.349108143371770
17,C,4,1,38.200000047683700,2.4792481048138800
17,C,4,2,10.299999952316300,2.747863369707310
17,C,4,3,9.200000047683720,2.847721998248120
17,C,5,1,14.5,1.0289241991334100
17,C,5,2,11.899999856948900,0.7755232727904400
17,C,5,3,13.799999713897700,1.619640608642890
17,C,5,4,6.900000095367430,2.897833341195670
17,C,5,5,15.399999856948900,1.8055131419523600
17,C,5,6,12.400000095367400,1.1460552067042400